번호,센터명,위도,경도,은행,편의점,지하철 개수,지하철 점수,지하철등급,국도(km),고속도로(km),도로점수,도로등급
0,강릉 공공임대형 지식산업센터,37.806206864259,128.854086356953,E,E,0,0.0,E,0.91,7.81,1.63,A
1,동해지식산업센터,37.4815755496578,129.133811284715,C,E,0,0.0,E,3.65,6.42,4.65,E
2,표준공장1동,37.4808418834247,129.153095048545,E,E,0,0.0,E,5.65,9.7,7.14,E
3,표준공장2동,37.4808418834247,129.153095048545,E,E,0,0.0,E,5.65,9.7,7.14,E
4,표준공장3동,37.4808418834247,129.153095048545,E,E,0,0.0,E,5.65,9.7,7.14,E
5,"양양군 현남면 북분리 425-7, 460-2",37.9891459670001,128.744672613874,E,E,0,0.0,E,0.29,10.0,0.56,A
6,"양양읍 연창리 180-106, 180-14",38.0818214580219,128.630125043128,C,D,0,0.0,E,1.51,7.85,2.53,B
7,B&I지식산업센터원주,37.3727433723036,127.880642267638,C,C,0,0.0,E,4.89,4.76,4.82,E
8,H타워,37.3250648329597,127.977070965236,B,C,0,0.0,E,1.11,8.25,1.96,B
9,강원혁신지식산업센터,37.324955945974,127.98902657889,B,B,0,0.0,E,1.5,10.0,2.61,C
10,미정,37.3782033129268,127.888041410508,E,E,5,62.35,A,5.69,5.65,5.67,E
11,엔터비즈타워,37.3276896290695,127.978356313945,B,C,0,0.0,E,1.11,10.0,2.0,B
12,지정면 가곡리 1283-2(미정),37.370904624229,127.865285626614,C,E,0,0.0,E,5.21,4.09,4.58,E
13,친환경 디지털 헬스케어 산업 지원센터,37.3717118617247,127.874102721458,C,C,0,0.0,E,4.48,4.17,4.32,D
14,B&I지식산업센터,37.8914257217585,127.740887184913,C,E,0,0.0,E,3.85,10.0,5.56,E
15,바이오융복합산업화지원센터,37.8915277701111,127.742678495512,C,E,0,0.0,E,3.62,10.0,5.32,E
16,센트로비즈 춘천 지식산업센터,37.8895828106994,127.746416211355,B,D,0,0.0,E,3.32,10.0,4.98,E
17,춘천 하이테크타워,37.8878980429149,127.745056211989,B,C,0,0.0,E,3.43,10.0,5.11,E
18,춘천ICT벤처센터,37.8905459978546,127.741769067131,C,E,0,0.0,E,3.62,10.0,5.32,E
19,춘천바이오벤처프라자,37.8933077728152,127.745792622881,C,D,0,0.0,E,3.44,10.0,5.12,E
20,이모빌리티 지식산업센터,37.4937299327035,128.061007760533,E,D,0,0.0,E,10.0,10.0,10.0,E
21,DMC 마스터원,37.6047795845031,126.897320833758,E,D,2,8.78,D,3.91,6.26,4.81,E
22,DMC 아미,37.6064113626198,126.893154710349,E,C,0,0.0,E,3.77,6.12,4.67,E
23,DMC 플렉스데시앙,37.6093307962968,126.892414603793,E,C,0,0.0,E,4.09,5.91,4.83,E
24,DMC시티워크,37.5904262583678,126.886496311467,B,D,3,18.62,D,2.15,4.5,2.91,C
25,GL메트로시티 한강,37.5800929092663,126.857535186096,E,E,1,4.27,D,0.46,0.4,0.43,A
26,GL메트로시티 향동,37.6075383627212,126.89171864608,E,C,0,0.0,E,4.0,6.25,4.88,E
27,MBN STUDIO 지식산업센터,37.649817347875,126.897819095336,C,A,2,67.26,A,3.78,3.82,3.8,D
28,고양아크비즈,37.6399745425202,126.875402865817,C,D,1,39.6,C,1.27,4.15,1.94,B
29,고양한강삼송지축듀클래스,37.6677280316559,126.920759658341,E,D,0,0.0,E,6.9,4.9,5.73,E
30,광양프런티어밸리6차,37.6384436192295,126.875004570358,E,C,1,31.47,D,0.71,3.59,1.19,A
31,루트로닉 센터,37.6133739564605,126.847712020134,E,C,2,75.49,A,1.08,2.37,1.48,A
32,삼송테크노밸리,37.649050696362,126.902062100188,C,C,2,57.07,B,4.08,4.1,4.09,D
33,에이스하이엔드타워 지축역,37.6479232429708,126.907694921225,C,E,3,54.32,B,4.71,4.5,4.6,E
34,원흥줌하이필드,37.6411295594619,126.875702209877,C,C,1,45.63,C,1.27,4.15,1.94,B
35,원흥한일윈스타,37.6390855686898,126.87517299174,E,C,1,34.9,D,2.68,5.57,3.62,D
36,지벤컴퍼니타워,37.6406712832992,126.875582872814,C,C,1,43.26,C,1.27,4.15,1.94,B
37,포스콤타워,37.6133378641026,126.848721701664,E,D,2,70.05,A,1.08,2.37,1.48,A
38,현대테라타워 DMC,37.6084514190238,126.893894169319,E,C,0,0.0,E,3.88,6.12,4.75,E
39,현대테라타워 향동,37.6059004410086,126.896936509064,E,D,2,6.84,D,4.37,6.39,5.19,E
40,현대프리미어캠퍼스 지축역,37.6463955636805,126.910776156231,C,D,3,65.93,A,4.81,4.6,4.7,E
41,KT그룹 통합미디어,37.6508328511492,126.796552571971,C,C,6,54.61,B,3.44,3.69,3.56,D
42,대방 트리플라온1,37.6792717406039,126.778218827519,B,C,5,50.22,B,4.33,6.27,5.12,E
43,대방 트리플라온2,37.6789436388098,126.779486267516,B,C,5,48.63,B,4.39,6.33,5.18,E
44,유니테크빌 벤처타운,37.6498929167421,126.793733332621,C,B,6,52.49,B,3.5,3.74,3.62,D
45,일산 슈프림 더 브릭스타워,37.6670890286521,126.794301088943,C,D,4,52.58,B,5.44,4.48,4.91,E
46,일산테크노타운,37.6502469656387,126.794952549514,C,C,6,53.58,B,3.33,3.58,3.45,C
47,(주)과천상상PFV,37.4165845145077,126.975639183638,C,C,2,16.24,D,2.03,2.97,2.41,B
48,디테크타워,37.4139297171912,126.977274462975,C,B,2,22.11,D,1.73,2.66,2.1,B
49,GIDC 광명역,37.4226910960748,126.887070940089,C,A,3,39.83,C,2.46,2.43,2.44,B
50,광명G타워,37.445815,126.894066,B,C,2,36.43,C,10.0,10.0,10.0,E
51,광명아파트형공장,37.4571825623862,126.885280319486,C,D,2,56.52,B,0.92,3.31,1.44,A
52,광명역 엠클러스터,37.4241820452474,126.887108355296,C,A,3,33.07,D,2.36,2.33,2.34,B
53,광명역자이타워,37.4192525023875,126.888643873989,C,C,2,65.48,A,3.03,2.12,2.49,B
54,광명테크노타운,37.4927668219997,126.868561289972,B,D,8,42.26,C,3.77,5.56,4.49,E
55,광명테크노파크,37.444669026458,126.894877045446,C,D,2,36.65,C,0.77,3.57,1.27,A
56,에이스광명타워,37.447759724105,126.892220016413,B,B,2,39.73,C,0.37,2.83,0.65,A
57,현대테라타워광명,37.4591082079314,126.875661977293,C,A,2,23.75,D,2.03,4.03,2.7,C
58,경기주택도시공사,37.3955954012914,127.249915278763,E,E,1,76.18,A,1.6,5.97,2.52,B
59,구리갈매 금강펜테리움 IX타워,37.6352220255008,127.12485645911,C,A,3,58.19,B,3.48,10.0,5.16,E
60,구리갈매 휴벨라인,37.6377671951077,127.126652299895,B,B,4,62.99,A,1.29,2.34,1.66,A
61,구리갈매아너시티,37.634768618794,127.123344138795,C,B,3,57.66,B,1.18,2.23,1.54,A
62,현대 테라타워구리갈매,37.6331040199783,127.123285534971,C,B,3,52.84,B,1.18,2.23,1.54,A
63,힐스테이트 갈매역 스칸센 알토 현대클러스터 A그룹,37.6362704101769,127.122710692138,C,A,3,61.92,A,0.9,1.95,1.23,A
64,힐스테이트 갈매역 스칸센 알토 현대클러스터 B그룹,37.6357113681019,127.123124885354,C,A,3,60.4,A,1.08,2.13,1.43,A
65,PK 벤처타워,37.356370002284,126.957179753751,B,B,2,46.35,C,3.12,4.17,3.57,D
66,TRIARTS(트리아츠),37.3522578282002,126.949487678877,B,C,3,74.96,A,3.8,4.09,3.94,D
67,군포IT밸리,37.3496002992083,126.953581894591,B,B,2,63.23,A,3.25,3.58,3.41,C
68,군포LS 지식산업센터,37.3583144640132,126.952570232926,C,B,5,37.99,C,3.8,4.43,4.09,D
69,군포SK벤티움,37.3490625067432,126.952526732535,B,B,3,56.12,B,3.28,3.36,3.32,C
70,군포제일공단,37.3534859069427,126.953153758609,C,C,3,60.39,A,3.77,4.35,4.04,D
71,군포현대아이밸리,37.3590111788515,126.949195315037,C,B,5,43.34,C,4.21,3.8,3.99,D
72,금봉테크노밸리(Ⅱ),37.3570168974095,126.960689677717,B,C,2,30.28,D,2.74,3.76,3.17,C
73,금봉테크노벨리,37.358192249495,126.958466977991,B,B,2,35.74,D,3.03,3.77,3.36,C
74,대영tower,37.3742091201265,126.944130173207,C,A,4,81.37,A,5.08,3.65,4.25,D
75,동영벤쳐스텔,37.3541203709635,126.949339699359,B,B,3,90.04,A,3.71,4.14,3.91,D
76,삼성IT타워,37.3771174655212,126.942659349761,C,C,4,62.96,A,5.42,3.35,4.14,D
77,삼풍데파트,37.3539568975542,126.953212045531,C,B,3,60.12,A,3.35,3.93,3.62,D
78,삼풍프라자(2),37.3516738374796,126.954277344298,B,B,2,62.83,A,3.25,3.72,3.47,C
79,성우빌딩,37.3754513686523,126.942635215052,C,B,4,72.3,A,5.41,3.33,4.12,D
80,센트럴 비즈파크,37.3572485052962,126.953828332099,B,B,5,36.54,C,3.7,4.32,3.99,D
81,스카이비즈,37.360075732404,126.950230490908,C,C,5,37.88,C,4.3,3.72,3.99,D
82,신광프라자,37.3565014600554,126.953820662772,B,B,5,38.69,C,3.55,4.21,3.85,D
83,신라테크노빌,37.35530473811,126.950535687021,C,B,4,69.19,A,3.72,4.27,3.98,D
84,신일IT유토,37.3656763600708,126.956459209308,B,B,3,29.82,D,3.58,2.89,3.2,C
85,에스에이타워,37.3753438128414,126.943250613882,C,B,4,73.39,A,5.24,3.32,4.06,D
86,에이스 하이테크시티 군포 지식산업센터,37.3571271513782,126.95551216133,B,B,3,41.11,C,3.85,4.48,4.14,D
87,에이프로 테크노피아,37.3706770241402,126.945904908517,B,A,5,70.31,A,4.9,3.56,4.12,D
88,엠테크노센터,37.3569519391503,126.954662205839,B,B,5,33.58,D,3.85,4.48,4.14,D
89,예성팩토링,37.3645907874189,126.947947210268,B,D,4,44.72,C,4.71,3.47,4.0,D
90,우경타워,37.3767641490695,126.942608585982,C,C,4,64.64,A,5.29,3.27,4.04,D
91,트리아츠(A-2 BL),37.3522578282002,126.949487678877,B,C,3,74.96,A,3.8,4.09,3.94,D
92,트리아츠B,37.3504622124628,126.949380870198,B,B,3,65.06,A,3.51,3.72,3.61,D
93,한림벤쳐타운,37.3696492257771,126.945712259655,B,A,5,64.81,A,5.02,3.68,4.25,D
94,한림휴먼타워,37.375580960776,126.94457670139,C,B,4,70.65,A,5.18,3.58,4.23,D
95,한솔테크노타운,37.3635884719356,126.958896464912,B,D,3,21.23,D,3.31,3.56,3.43,C
96,군포 에이스 더블유밸리,37.3266516568689,126.940998511407,E,C,1,53.29,B,3.88,2.01,2.65,C
97,경동미르웰시티,37.6411326587931,126.683619083593,E,B,2,31.88,D,1.26,10.0,2.24,B
98,금광테크노벨리,37.6398376744673,126.68194205834,E,A,2,31.35,D,1.44,10.0,2.52,B
