center_name,지하철_개수,가중_평균_접근성
DMC 마스터원,2,8.78
DMC시티워크,3,18.62
GL메트로시티 한강,1,4.27
MBN STUDIO 지식산업센터,2,67.26
고양아크비즈,1,39.6
광양프런티어밸리6차,1,31.47
루트로닉 센터,2,75.49
삼송테크노밸리,2,57.07
에이스하이엔드타워 지축역,3,54.32
원흥줌하이필드,1,45.63
원흥한일윈스타,1,34.9
지벤컴퍼니타워,1,43.26
포스콤타워,2,70.05
현대테라타워 향동,2,6.84
현대프리미어캠퍼스 지축역,3,65.93
KT그룹 통합미디어,6,54.61
대방 트리플라온1,5,50.22
대방 트리플라온2,5,48.63
유니테크빌 벤처타운,6,52.49
일산 슈프림 더 브릭스타워,4,52.58
일산테크노타운,6,53.58
(주)과천상상PFV,2,16.24
디테크타워,2,22.11
GIDC 광명역,3,39.83
광명G타워,2,36.43
광명아파트형공장,2,56.52
광명역 엠클러스터,3,33.07
광명역자이타워,2,65.48
광명테크노타운,8,42.26
광명테크노파크,2,36.65
에이스광명타워,2,39.73
현대테라타워광명,2,23.75
경기주택도시공사,1,76.18
구리갈매 금강펜테리움 IX타워,3,58.19
구리갈매 휴벨라인,4,62.99
구리갈매아너시티,3,57.66
현대 테라타워구리갈매,3,52.84
힐스테이트 갈매역 스칸센 알토 현대클러스터 A그룹,3,61.92
힐스테이트 갈매역 스칸센 알토 현대클러스터 B그룹,3,60.4
PK 벤처타워,2,46.35
TRIARTS(트리아츠),3,74.96
군포IT밸리,2,63.23
군포LS 지식산업센터,5,37.99
군포SK벤티움,3,56.12
군포제일공단,3,60.39
군포현대아이밸리,5,43.34
금봉테크노밸리(Ⅱ),2,30.28
금봉테크노벨리,2,35.74
대영tower,4,81.37
동영벤쳐스텔,3,90.04
삼성IT타워,4,62.96
삼풍데파트,3,60.12
삼풍프라자(2),2,62.83
성우빌딩,4,72.3
센트럴 비즈파크,5,36.54
스카이비즈,5,37.88
신광프라자,5,38.69
신라테크노빌,4,69.19
신일IT유토,3,29.82
에스에이타워,4,73.39
에이스 하이테크시티 군포 지식산업센터,3,41.11
에이프로 테크노피아,5,70.31
엠테크노센터,5,33.58
예성팩토링,4,44.72
우경타워,4,64.64
트리아츠(A-2 BL),3,74.96
트리아츠B,3,65.06
한림벤쳐타운,5,64.81
한림휴먼타워,4,70.65
한솔테크노타운,3,21.23
군포 에이스 더블유밸리,1,53.29
경동미르웰시티,2,31.88
금광테크노벨리,2,31.35
금광하이테크시티,2,29.07
김포테라비즈 지식산업센터,2,31.89
김포한강 듀클래스,2,34.71
디원시티,2,71.11
디원시티 시그니처,2,73.65
라보진 지식산업센터,1,15.45
리브타워,2,72.37
마스터비즈파크,2,26.47
샹보르영무파라드김포한강,2,67.66
센트레비즈,2,66.73
한강르네상스첨단비즈나인,2,46.93
한강신도시G타워,2,31.63
SY비즈라클,2,11.12
다산 블루웨일 지식산업센터 2차,5,37.43
다산진건 블루웨일 지식산업센터 1차,5,36.86
도심지식산업센터,2,91.31
동광비즈타워 지식산업센터,3,40.56
민족통일 MJ센터 별내 지식산업센터,4,24.79
별내 디퍼스트,1,17.43
블루오션 별내 지식산업센터,1,76.87
에이스하이엔드타워 별내 지식산업센터,3,40.56
엠큐브스퀘어,2,14.64
한강프리미어갤러리,2,10.04
현대 테라타워DIMC,1,12.05
현대그리너리캠퍼스별가람역,1,62.95
현대프리미어캠퍼스 지식산업센터,5,38.1
(주)태일전기,2,13.07
동두천시 싸이언스타워,2,77.0
동두천싸이언스타워 두드림 패션센터,2,77.0
드림시티지식산업센타,2,44.67
괴안동 아파트형 공장,4,61.38
남성산업(주),3,62.66
대우테크노타운,3,54.74
덕성테크노밸리,1,30.71
부천콘텐츠센터,4,48.17
삼정,3,55.14
송내테크노밸리,3,81.39
옥길테크노벨리,1,29.31
다우테크노타운,1,20.48
다우테크노타운Ⅱ,2,13.77
디클래스I,4,3.91
부천 대원테크,4,10.77
부천테크노파크1단지,2,18.07
부천테크노파크제3공장,2,16.43
(주)두성기계연구,5,37.7
고산테크노벨리,5,37.9
구심이엔지,3,29.77
대우테크노파크,5,32.45
디아크원 지식산업센터,4,79.83
부천테크노밸리 U1 Center,6,54.31
부천테크노월드,5,37.19
부천테크노파크2단지,2,28.86
부천테크노파크제4공장,3,20.97
비즈타워,3,36.05
삼보테크노타워,5,60.88
서림테크노파크 3차,8,40.04
서림테크노파크II,5,42.5
서림테크노파크Ⅰ,4,77.82
신중동 더퍼스트 지식산업센터,5,40.75
와이제니스파크,4,36.41
은성테크노,3,31.56
춘의테크노파크,4,68.14
춘의테크노파크3차,6,52.99
춘의테크노파크Ⅱ,5,66.18
부천 U1 Center,5,57.53
히트비젼타워,5,49.94
분당남서울첨단,5,20.98
경기 기업성장센터,1,0.7
SK V1,2,14.36
SK엔테크노파크,1,3.27
SK지식산업센터,1,4.65
wave tower,1,11.46
금강펜테리움IT타워,13,55.79
금강하이테크밸리,2,8.2
금강하이테크밸리 2차,2,8.47
노벨테크노타워,2,12.91
델리스지식산업센터,2,6.54
드림테크노,1,9.89
선텍시티,1,6.07
선텍시티2차,1,15.53
성남센터엠,1,1.79
성남센트럴비즈타워,2,28.68
성남센트럴비즈타워2차,2,10.07
스타우드,3,19.3
시콕스타워,1,1.4
영원패션클러스터,2,11.02
우림라이온스밸리,9,85.26
우림라이온스밸리2차,6,70.93
우림라이온스밸리3차,3,19.02
우림라이온스밸리5차,2,20.56
자생메디바이오센터,1,17.04
중앙이노테크,2,3.71
중앙인더스피아,2,10.54
중앙인더스피아2,2,17.51
중앙인더스피아5차,2,9.32
중앙인더스피아제3공장,2,21.39
중일아인스프라츠2차,2,8.63
프리마비즈타워,2,22.53
수원델타원,2,34.7
수원첨단벤처밸리,2,51.79
수원휴먼스카이밸리,2,51.28
(주)덴티움,2,51.54
광교 센트럴 비즈타워,2,41.75
