지역,물건번호,상가구분,월세,보증금,평당월세,계약면적,전용면적,층,전체층,기타정보,위도,경도,지번주소
강원특별자치도 원주시 반곡동,2528886552,지식산업센터,40,500,1.04,76,38.49,7,15,"['4년이내', '중층', '주차가능', '엘리베이터']",37.327746,127.978457,강원특별자치도 원주시 반곡동 1809-11
강원특별자치도 원주시 반곡동,2528873558,지식산업센터,40,500,1.11,56,36.18,8,15,"['4년이내', '중층', '주차가능']",37.327746,127.978457,강원특별자치도 원주시 반곡동 1809-11
강원특별자치도 원주시 반곡동,2528480164,지식산업센터,40,500,0.9,88,44.59,4,15,"['4년이내', '지상층(1층제외)', '주차가능']",37.327746,127.978457,강원특별자치도 원주시 반곡동 1809-11
강원특별자치도 원주시 반곡동,2528476385,지식산업센터,40,500,0.94,42,42.69,3,15,"['4년이내', '지상층(1층제외)', '주차가능', '천장에어컨']",37.327746,127.978457,강원특별자치도 원주시 반곡동 1809-11
강원특별자치도 원주시 반곡동,2528332848,지식산업센터,90,"1,000",1.18,152,76.54,10,15,"['4년이내', '중층', '주차가능']",37.327746,127.978457,강원특별자치도 원주시 반곡동 1809-11
강원특별자치도 원주시 반곡동,2528035323,지식산업센터,35,500,0.91,76,38.49,11,15,"['4년이내', '급매', '고층', '주차가능']",37.327746,127.978457,강원특별자치도 원주시 반곡동 1809-11
강원특별자치도 원주시 반곡동,2527608210,지식산업센터,35,500,0.97,71,36.19,13,15,"['4년이내', '고층', '주차가능', '천장에어컨']",37.327746,127.978457,강원특별자치도 원주시 반곡동 1809-11
강원특별자치도 원주시 반곡동,2527605292,지식산업센터,35,"1,000",0.91,76,38.5,7,15,"['4년이내', '중층', '주차가능', '천장에어컨']",37.327746,127.978457,강원특별자치도 원주시 반곡동 1809-11
강원특별자치도 원주시 반곡동,2527341395,지식산업센터,63,500,1.21,103,52.09,7,15,"['4년이내', '중층', '주차가능']",37.327746,127.978457,강원특별자치도 원주시 반곡동 1809-11
강원특별자치도 원주시 반곡동,2526913722,지식산업센터,35,500,0.91,76,38.49,12,15,"['4년이내', '고층', '주차가능']",37.327746,127.978457,강원특별자치도 원주시 반곡동 1809-11
강원특별자치도 원주시 반곡동,2528234754,지식산업센터,20,500,1.07,37,18.69,3,15,"['4년이내', '지상층(1층제외)', '주차가능']",37.327746,127.978457,강원특별자치도 원주시 반곡동 1809-11
강원특별자치도 원주시 반곡동,2526744139,지식산업센터,40,500,1.04,61,38.49,13,17,"['4년이내', '고층', '주차가능']",37.327746,127.978457,강원특별자치도 원주시 반곡동 1809-11
강원특별자치도 원주시 반곡동,2526110445,지식산업센터,40,500,1.74,23,23.0,7,15,"['4년이내', '중층', '주차가능']",37.327746,127.978457,강원특별자치도 원주시 반곡동 1809-11
강원특별자치도 원주시 반곡동,2526013786,지식산업센터,40,500,1.04,76,38.49,13,15,"['4년이내', '고층', '주차가능']",37.327746,127.978457,강원특별자치도 원주시 반곡동 1809-11
강원특별자치도 원주시 반곡동,2525969408,지식산업센터,40,500,1.04,76,38.5,13,15,"['4년이내', '고층', '주차가능', '천장에어컨']",37.327746,127.978457,강원특별자치도 원주시 반곡동 1809-11
강원특별자치도 원주시 반곡동,2525099033,지식산업센터,35,500,0.97,71,36.19,8,15,"['4년이내', '중층', '주차가능', '천장에어컨']",37.327746,127.978457,강원특별자치도 원주시 반곡동 1809-11
강원특별자치도 원주시 반곡동,2525341661,지식산업센터,30,500,0.78,76,38.5,7,15,"['4년이내', '중층', '주차가능', '엘리베이터']",37.327746,127.978457,강원특별자치도 원주시 반곡동 1809-11
